Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
C1orf127,8.203125,0.2,0.024380952,-5.358101648,-1.612949334
TSHZ3,4.015789474,0.1,0.024901704,-5.327611676,-1.603770937
OSMR,11.79722222,0.3,0.025429715,-5.297340835,-1.594658506
GPRC5A,15.61666667,0.4,0.025613661,-5.286942681,-1.591528349
USH1C,7.646428571,0.2,0.026156002,-5.256714103,-1.58242864
NEDD9,3.697058824,0.1,0.027048528,-5.20830604,-1.567856361
IP6K3,3.464516129,0.1,0.02886406,-5.114581918,-1.539642588
ADAMTS20,3.454166667,0.1,0.028950543,-5.110265741,-1.538343289
AKAP6,6.469444444,0.2,0.030914556,-5.015569876,-1.509836992
OTOP3,3.23125,0.1,0.030947776,-5.014020424,-1.509370561
CCND1,32.2,1,0.031055901,-5.008988737,-1.507855872
PDE1C,6.439393939,0.2,0.031058824,-5.00885296,-1.507814999
ARSI,3.183333333,0.1,0.031413613,-4.992466282,-1.502882117
PLIN3,25.41666667,0.8,0.03147541,-4.989630981,-1.502028606
CHAT,3.142105263,0.1,0.031825796,-4.973659563,-1.49722073
PLIN5,3.132352941,0.1,0.031924883,-4.969174829,-1.495870691
ZNF844,9.317647059,0.3,0.03219697,-4.956931233,-1.492185001
LYPD6B,3.1,0.1,0.032258065,-4.954196266,-1.491361694
PTGER3,3.1,0.1,0.032258065,-4.954196266,-1.491361694
KCNG1,6.179310345,0.2,0.032366071,-4.949373883,-1.489910012
GDF15,29.49722222,1,0.033901497,-4.882507153,-1.46978112
ANKRD34C,2.87,0.1,0.034843206,-4.842978791,-1.457881897
OIT3,2.855172414,0.1,0.035024155,-4.835505922,-1.455632339
ZIM2,2.85,0.1,0.035087719,-4.832889974,-1.45484486
NLRP5,5.7,0.2,0.035087719,-4.832889973,-1.45484486
CD109,8.530555556,0.3,0.035167698,-4.829605254,-1.453856061
UGT1A1,5.642857143,0.2,0.035443038,-4.818353881,-1.45046906
LRFN2,5.620689655,0.2,0.035582822,-4.812675214,-1.448759611
IL32,2.696296296,0.1,0.037087912,-4.7529071,-1.430767615
ABCC9,2.666666667,0.1,0.0375,-4.736965556,-1.425968732
PCDHB13,5.225,0.2,0.038277512,-4.707359095,-1.417056299
PREX1,25.18611111,1,0.039704423,-4.654556437,-1.401161115
ADAMTSL1,7.463636364,0.3,0.040194884,-4.636844257,-1.395829217
ALB,4.968965517,0.2,0.040249827,-4.634873589,-1.395235987
GK2,2.4125,0.1,0.041450777,-4.592457003,-1.382467322
